ImageId,PredictionString
ID_dfbcb7cbf,71 0.192845 -2.00126 -3.11588 -23.6479 6.42685 34.4336 46 0.192848 0.297939 -3.11589 2.20848 18.2564 104.341 2 0.192845 2.27025 -3.11589 -24.8907 10.4905 65.1451 7 0.193849 -0.917211 -3.12519 -28.1337 7.98518 48.2766 46 0.193848 -1.90302 -3.12519 -26.1341 7.14289 43.293 16 0.19385 -0.543077 -3.1252 -20.8158 5.19586 29.8138
ID_b21f7184c,8 0.155993 3.11891 -3.09448 -10.0228 3.66945 18.1625 35 0.129429 -3.13393 -3.13044 -10.5642 5.07019 25.2626 12 0.113821 3.04839 -3.0982 -9.9081 5.50442 29.6672 27 0.134653 -3.14023 -3.12076 -10.7511 7.59783 43.8938 28 0.157964 0.0646406 -3.09944 6.8113 10.8315 61.7789 16 0.155991 3.13637 -3.09448 -9.4895 2.84911 11.7673 16 0.134652 3.13992 -3.12076 -9.37259 5.81899 32.7442 46 0.134646 3.13125 -3.12076 -11.7803 8.88794 53.3487 46 0.134648 -2.55637 -3.12076 -21.6627 19.974 122.089
ID_726e547e6,70 0.161419 -0.0622336 -3.09756 -3.31997 5.36818 24.6027 66 0.168438 3.11582 -3.13668 -9.18223 4.42888 20.3507 46 0.118643 -3.12892 -3.09985 -11.3407 7.31536 39.9163 43 0.150758 0.0282375 -3.12895 11.2707 9.52141 46.869 51 0.143216 -3.085 -3.11268 -28.9974 9.05758 50.8906 6 0.196633 0.829181 -3.13755 -21.8586 7.76733 44.9073 16 0.161419 0.0145965 -3.09756 -3.52556 12.1134 67.9926 2 0.118638 3.133 -3.09985 -8.01833 7.50693 40.0828 2 0.150757 -0.0155416 -3.12896 11.5394 10.6492 53.5248 16 0.150758 0.00217477 -3.12896 10.9396 10.8289 55.0449 6 0.150755 0.261898 -3.12893 13.3511 16.5154 85.649 6 0.142461 3.00754 -3.10914 -24.8315 5.79934 33.0673 6 0.117278 3.09007 -3.09615 -13.9212 6.6687 34.94 16 0.150758 -0.102485 -3.12895 10.7717 4.03203 14.7645
ID_f0fca07ab,37 0.12618 -3.12722 -3.09636 -10.0779 4.67114 21.4082 9 0.12618 -3.12722 -3.09636 -10.035 5.53279 26.9981 23 0.12484 3.10964 -3.11612 -4.44528 5.51042 24.1124 76 0.148992 3.09944 -3.11386 -8.65394 11.0346 58.6486 70 0.180189 3.09472 -3.11271 -10.9719 17.5953 100.035 28 0.159156 -0.0378222 -3.11395 4.36667 9.26014 45.9243 61 0.17539 0.0500157 -3.08122 4.4757 6.97236 31.3725 6 0.12611 1.17633 -3.09617 -31.3975 7.62531 45.0678 2 0.148989 3.12359 -3.11386 -9.80113 11.0124 61.8146 51 0.159529 -0.0460845 -3.11621 3.21532 22.1598 124.952 46 0.159529 -0.0244222 -3.11622 4.40554 13.4949 74.7078 16 0.159529 -0.107818 -3.11622 3.68409 9.32276 48.8444 46 0.175388 -1.60131 -3.08122 16.6862 8.92576 45.7833 2 0.17539 0.687873 -3.08122 17.1948 6.05485 30.8078
ID_61e1898df,76 0.186786 -0.00485536 -3.05507 -22.6649 5.21507 34.3638 9 0.196405 0.0178844 -3.12182 -26.8629 8.91116 55.9251 9 0.151111 -0.132866 -3.11648 -16.8666 6.9917 42.4959 54 0.152621 -0.00106104 -3.10478 -5.63356 4.17646 19.0819 61 0.130513 -0.0388851 -3.04685 -6.04538 6.73004 35.3751 61 0.191484 0.000288525 3.10689 -6.39757 9.58905 53.2886 66 0.19403 0.01949 -3.08085 -2.01783 4.56572 20.0689 16 0.19403 0.0167701 -3.08085 -2.40984 12.4543 69.169 16 0.19403 -0.00658495 -3.08085 0.443387 10.7478 57.6807 16 0.19403 -0.598369 -3.08085 11.4128 13.3259 69.8824
ID_7f13c4118,35 0.155601 -3.0666 -3.12739 -9.96192 3.74923 16.1667 35 0.168826 -3.05687 -3.13329 -9.71358 4.64836 22.2958 71 0.14568 3.11718 3.06917 -11.3886 6.30126 31.5432 16 0.174107 -3.04766 -3.10726 -9.50412 5.86577 31.2808 46 0.160793 -3.09256 3.06199 -11.5937 8.25406 45.7331 8 0.249684 0.393478 -3.10994 -9.59148 7.11822 41.7602 18 0.164727 3.07823 -3.13975 -12.8245 13.9858 81.1565 14 0.134153 2.99846 3.1158 -9.7937 13.053 78.4193 18 0.294526 -3.05369 3.10315 14.5095 5.03518 21.025 16 0.164734 3.08958 -3.13975 -10.0664 9.02869 51.6796 16 0.134983 0.0517819 -3.10627 0.539533 11.5411 67.4776 46 0.135934 0.0517887 -3.09975 -0.984389 6.36872 33.2251 46 0.134157 -0.931555 3.1158 6.84379 9.44033 54.1543 46 0.134157 -0.420457 3.11579 7.1639 9.46534 51.4316 46 0.134156 -2.30084 3.1158 17.0232 9.8632 52.6112
ID_9fb79f7dd,66 0.144108 -3.09974 -3.11955 -11.5501 4.22473 19.9233 35 0.160998 -3.10349 -3.12079 -7.54007 5.52267 27.1017 40 0.171263 0.0249349 -3.01807 2.77003 8.01522 39.633 16 0.171263 0.0452007 -3.01808 -0.0458151 5.57066 27.9255 46 0.171263 0.2991 -3.01807 -4.94559 13.6696 72.9706 16 0.171263 0.0554675 -3.01807 2.42323 12.7267 64.8305
ID_85e8c4d85,66 0.14633 3.11203 3.14011 -4.51562 2.93772 10.4129 18 0.327062 0.380149 -3.13702 -4.32409 3.80608 17.5274 66 0.142727 3.11904 3.12977 -4.00379 5.28398 25.6852 46 0.243106 3.12958 3.14145 -4.72469 7.51649 40.3377 7 0.163403 -3.10818 -3.07654 -3.74549 13.8997 78.9111 71 0.145144 -0.000983173 -3.06814 5.05276 6.70262 33.0856 46 0.243106 3.09476 3.14145 -5.14066 9.88294 54.6817 46 0.243103 3.05843 3.14145 -4.75965 11.5505 65.0065 46 0.243099 -3.13618 3.14145 -5.06495 14.5794 82.3865 16 0.145145 0.0322483 -3.06814 4.2513 6.84175 34.3869 16 0.145144 -0.0157584 -3.06814 4.77047 12.9284 71.3639
ID_63ed0ec41,37 0.142653 -3.10794 -3.10915 -14.1563 5.70828 25.2236 48 0.165713 3.12601 3.10338 -18.6633 6.40147 29.9582 35 0.164525 -3.11497 -3.10182 -13.5546 8.84637 44.746 25 0.114689 3.10557 -3.13341 -19.5081 11.0772 59.1466 46 0.247652 -3.08575 -3.11814 -16.521 17.0355 95.2748 12 0.200852 0.0467634 -3.08799 4.56551 10.5685 54.2687 28 0.101281 0.0325452 -3.08249 0.559845 12.8113 71.7938 66 0.165669 0.0379598 -3.10621 4.39017 19.5813 109.62 46 0.16571 3.1097 3.10338 -31.367 8.79792 48.0189 16 0.114683 3.14089 -3.13341 -19.3183 9.88709 53.8386
ID_5ce45c160,28 0.132253 0.00598696 -3.10733 3.51256 10.3772 54.8613 2 0.132252 0.014004 -3.10734 -0.153567 15.2782 87.5985 16 0.132253 -0.0313045 -3.10733 2.23673 16.9143 99.2496 46 0.132252 -0.0291608 -3.10733 -0.52722 38.9134 240.256 46 0.132251 -3.13675 -3.10733 -9.28175 38.3361 239.097
ID_99379b1d0,35 0.139387 -2.3485 -3.12081 -18.7452 6.53745 35.5531 35 0.205325 0.0881625 -3.10393 -4.3012 16.7128 99.5487 37 0.117644 0.0024469 -3.11691 -0.0753555 3.97134 16.6552 28 0.170694 0.00925354 -3.11862 0.551508 2.95524 9.43687 8 0.161095 -0.0170103 -3.03391 3.85575 4.53045 19.0845 51 0.135501 0.0198831 -3.12312 4.06541 3.80093 13.6365 16 0.1355 -0.0293156 -3.12311 6.56683 4.22704 17.2197 46 0.135501 0.0946874 -3.12311 3.95499 2.7144 6.64666
ID_2199b4c9f,28 0.155132 0.0242473 -3.10521 13.001 6.17376 24.5893 76 0.184412 0.0626068 -3.13476 13.0326 7.06281 30.4849 6 0.137191 0.118477 -3.08835 12.7277 9.66306 46.0027 70 0.127021 -0.0497845 -3.07717 -3.84452 9.58209 50.3623 12 0.232119 -3.07591 -3.10717 -22.4821 9.15248 50.5929 27 0.153952 -3.09416 -3.10592 -25.3169 11.1547 62.8154 8 0.155488 3.11498 -3.08441 -22.8736 10.7396 61.8381 46 0.137191 0.0554617 -3.08834 8.13358 14.5213 78.5055 16 0.137191 0.0260739 -3.08835 11.7161 22.2478 122.725 46 0.137192 0.203962 -3.08834 4.07775 23.0793 127.603 16 0.137191 -0.0591498 -3.08834 0.509562 12.6247 68.1804 16 0.137191 0.017213 -3.08834 -1.43053 18.6704 105.432 46 0.137191 0.338643 -3.08834 -5.1981 18.3403 105.53 6 0.23272 -3.10849 -3.11156 -22.9222 5.87239 31.1808 46 0.232121 3.03735 -3.10717 -30.5006 10.1628 55.3768 46 0.127023 -3.0882 -3.07717 -17.2562 26.9475 156.414 16 0.127017 -3.02867 -3.07717 -12.3427 22.7656 133.131
ID_4daffefa0,32 0.184544 0.0377797 -3.09966 3.05318 5.81333 23.0951 25 0.141114 -0.0232245 -3.09532 13.2324 6.98404 32.0515 8 0.130243 0.00878126 -3.06174 12.0665 9.89488 51.3846 2 0.184544 -0.0181863 -3.09966 2.09032 10.1681 52.379 46 0.130242 -0.188067 -3.06174 16.0918 15.0207 79.3713 16 0.184544 -0.0153972 -3.09966 -4.16652 12.099 66.4049
ID_c754c08ad,28 0.149658 0.0154765 -3.06762 4.46421 3.37838 10.5721 51 0.161289 0.0354782 -3.11247 4.87051 4.86971 18.9298 8 0.161228 0.012733 -3.0491 4.44074 5.41618 23.5687 66 0.138068 -3.09883 -3.07354 -3.49995 2.57306 7.98033 25 0.132145 -3.07531 3.13301 -9.47565 5.43769 28.7715 25 0.139204 -3.10369 3.12823 -8.72205 6.88649 36.2367 9 0.178144 -3.11157 -3.11281 -5.16487 9.37294 51.6736 9 0.0670965 3.11964 3.12976 -7.91766 21.1654 124.898 46 0.161228 0.111162 -3.04911 5.15489 7.70685 34.7659 46 0.132145 3.10296 3.13301 -11.9031 6.27868 30.4061 2 0.0670955 0.0506179 3.12976 1.4388 31.7789 190.099 46 0.178148 3.03555 -3.11281 -12.1945 17.0076 98.264 2 0.0670955 -0.0362283 3.12976 4.35048 11.864 65.6278 46 0.13921 -3.1352 3.12823 -10.3261 8.65079 48.5182
ID_1fa17ae03,70 0.151985 -0.0339911 -3.09102 -1.92387 5.39001 26.6581 28 0.149982 0.442304 -3.1082 7.90103 10.7501 56.0437 16 0.149982 -0.016403 -3.1082 12.2678 4.46392 17.67 16 0.151985 0.00343468 -3.09102 -0.34464 7.17599 36.1374 16 0.151985 -0.0281409 -3.09102 -1.57034 11.5364 63.2166
ID_710229144,70 0.153541 -0.011019 -3.08825 13.9829 5.87362 26.1465 18 0.142482 0.0948199 -3.08165 15.5788 7.77377 36.0678 35 0.128458 0.0551604 -3.03211 13.4543 7.93966 38.8328 31 0.149198 0.0188457 -3.09481 14.1823 9.17566 47.0715 40 0.139596 -0.0101875 -3.10975 13.2195 10.4286 56.5835 9 0.116425 0.036497 -3.10158 15.4594 13.1118 73.8938 28 0.134182 -0.0577963 -3.03939 -5.39845 4.7866 22.1576 16 0.116425 -0.136356 -3.10158 11.8656 15.3263 91.383 16 0.116426 -0.0560143 -3.10159 8.87268 14.8978 91.3369 2 0.116426 0.0943292 -3.10159 -4.73896 18.5488 108.819 46 0.116425 0.137649 -3.10159 -4.19806 12.819 73.5684 2 0.134182 -0.220131 -3.03939 -20.402 5.06746 29.2303 16 0.134182 -0.0167437 -3.03939 -12.7093 7.00826 40.9067 46 0.134182 -0.0896828 -3.03939 -20.8645 10.1186 62.6041 46 0.134182 -0.206533 -3.03939 -25.5417 11.4343 72.1044 16 0.134183 0.129677 -3.03939 -24.9201 14.2171 87.8273
ID_5116e4436,43 0.0405114 3.13381 -3.11083 -3.9307 9.34674 52.1849 27 0.219637 -3.05521 -3.14144 -9.5728 10.4458 55.9198 25 0.142956 -3.08136 -3.11602 -8.19737 3.19048 14.3134 28 0.0876924 0.0602068 -3.0371 6.15431 3.75247 12.3962 35 0.150189 0.0785905 -3.00382 5.75892 4.55968 17.8974 25 0.143736 0.0133855 -3.02577 5.46412 10.1387 52.2599 27 0.107534 -3.1032 3.14029 -7.51257 27.8192 153.804 46 0.0876924 0.0602068 -3.0371 0.146442 4.63954 20.2999 46 0.219635 3.03658 -3.14144 -12.6672 15.4968 84.6212
ID_2e52a8a89,28 0.160752 -0.00108122 -3.08248 2.97458 3.87341 14.0199 25 0.145356 -0.0257381 -3.07295 6.4975 4.05633 14.7856 46 0.13263 0.0148541 3.09961 3.10335 5.04063 21.3494 51 0.155108 0.0149074 -3.05944 6.1942 6.03109 27.4528 35 0.14007 1.93482 -3.11477 10.2477 11.8507 65.9189 12 0.126349 -1.34681 -3.13793 16.4263 10.98 58.9787 47 0.148654 -1.41014 -3.09809 -31 10.742 64.7293 16 0.14212 0.682104 3.13055 15.3255 10.6239 58.5352 70 0.133777 0.048471 3.10344 3.4713 6.61314 30.8575 2 0.133776 -2.14771 3.10344 3.57042 8.84357 49.2868 16 0.133776 2.32631 3.10343 2.47849 9.16732 52.8687 50 0.150682 -1.43538 -3.10581 -29.094 8.21631 49.254
ID_34121bb7d,28 0.170231 -0.0269025 -3.09406 -22.812 6.23093 34.5899 40 0.0722323 -0.0383537 -3.04633 -20.6182 13.0613 72.9315 19 0.157257 -0.0480315 -3.11681 -7.1697 7.10211 37.1554 70 0.144331 -0.0129175 -3.07231 -4.37775 8.76604 44.6611 46 0.0722323 -0.103466 -3.04633 -8.09836 4.09762 20.1079 16 0.0722323 -0.0968478 -3.04633 -25.8124 9.30247 54.9122 16 0.144331 0.059708 -3.07232 -0.782531 8.65987 42.826
ID_a6ba74499,31 0.1116 -3.07961 -3.08977 -25.0124 10.4678 61.2945 35 0.17616 -3.11684 -3.12012 -8.09971 5.16873 24.2811 61 0.0626136 0.0585886 3.13148 2.30896 3.3684 13.0173 35 0.154785 0.089122 -3.11241 12.3175 7.4193 32.5121 66 0.14334 0.19328 -3.01846 15.3846 11.6076 56.9277 46 0.10796 0.131191 -3.12608 9.65449 12.8618 68.8523 16 0.111607 -3.07237 -3.08977 -9.54285 4.31659 20.8045 16 0.111598 -3.07252 -3.08977 -29.0655 13.218 76.5821 6 0.108983 3.02734 -3.08444 -26.7082 13.0058 75.3533 16 0.176154 -3.10013 -3.12012 -7.55097 5.71642 28.912 16 0.14334 0.0428301 -3.01846 10.5202 7.1147 32.5549 46 0.107959 0.522238 -3.12607 23.4713 28.9399 155.397
ID_0a0980d15,25 0.125635 -0.0119242 -3.11352 -3.54897 6.71652 35.2424 70 0.165364 -0.108763 -3.08604 -1.37559 3.65416 14.3717 40 0.184425 0.0105255 -3.11841 -6.20514 3.18115 12.2982 25 0.139418 0.00766688 -3.09761 -27.4712 6.70299 41.8338 28 0.14782 -0.00306222 -3.09897 -21.5575 7.53597 45.3791 28 0.137566 -0.016845 -3.11006 -19.3635 8.14291 47.7687 37 0.152077 -0.00404726 -3.06162 -24.7565 10.5398 66.3448 28 0.15756 -0.014299 -3.09825 -21.8529 11.9831 73.9464 16 0.125636 -0.000890334 -3.11352 0.11112 17.7491 103.812 46 0.125636 0.245565 -3.11352 -3.48455 11.1174 63.4739 46 0.15756 -0.0635203 -3.09825 -24.7271 15.6051 98.9738
ID_3fea5815f,70 0.158032 3.1297 -3.07443 -9.00777 3.66072 17.217 47 0.132693 -2.72333 -3.08911 -6.54221 4.57084 20.3585 43 0.0949913 -3.08318 -3.13519 -12.9544 10.6001 59.9829 31 0.190841 0.284031 -3.14023 -11.8487 12.8542 74.3309 23 0.201356 -2.90097 -3.1008 -14.0934 12.4875 70.8033
ID_12e94fdaf,35 0.159138 -3.12773 3.11914 -10.8561 4.07005 16.5209 37 0.126049 -3.01834 -3.1265 -11.5374 5.15045 23.6341 71 0.148567 -3.05618 3.13585 -11.487 6.03094 29.5285 71 0.16029 -3.07573 3.13876 -10.8936 6.28432 32.1438 28 0.146449 3.05574 -3.13291 -13.1028 11.2512 59.4672 43 0.131993 3.11131 -3.08237 -10.9068 12.2811 68.8875 12 0.162568 3.07787 3.13092 -8.87781 15.6578 88.6154 12 0.219132 0.0625497 -3.08702 4.15003 6.77398 33.2545 46 0.146451 3.03138 -3.13291 -14.1262 9.90478 51.1408 46 0.131991 3.0381 -3.08237 -14.6087 15.4128 84.3369 6 0.131976 3.0854 -3.08233 -10.6851 13.0449 73.2944 16 0.131978 3.01017 -3.08233 -9.97508 14.0417 78.6457 16 0.162558 3.06542 3.13092 -9.57317 14.9236 83.4763 16 0.162563 -0.132943 3.13092 -0.443984 11.8982 65.132 16 0.162563 0.00343621 3.13091 -1.75801 5.75135 28.2518 2 0.219132 -0.5124 -3.08702 4.72835 8.23486 43.4419
ID_472783441,28 0.134777 0.0513338 -3.05286 -30.6698 8.2047 49.8002 37 0.144649 -3.10743 -3.04633 -30.1407 9.06963 56.4017 28 0.177735 0.0781858 -3.13013 7.22296 6.994 32.7822 70 0.141836 0.0436193 -3.0807 14.5979 9.19059 46.8042 50 0.203691 0.0304372 -3.01955 13.012 12.5031 68.6696 2 0.141836 -0.0241034 -3.0807 14.4986 5.11852 22.0507 16 0.14465 -3.13559 -3.04633 -21.9007 7.29111 45.5994
ID_7062c0625,35 0.151848 3.11716 -3.12976 -9.01901 3.59555 14.7266 37 0.153004 -3.11142 -3.09945 -5.47628 3.90285 16.0671 37 0.100747 -3.02486 -3.10072 -23.1253 18.7881 109.918 16 0.1471 -0.0446931 -3.12577 3.48816 3.20863 10.506 35 0.182018 0.0410465 -3.09783 10.7348 11.6198 57.9032 46 0.163157 0.0307369 -3.09229 10.3853 15.3437 77.8719 31 0.0277692 -3.1258 -3.11354 -9.77705 20.4442 118.925 2 0.1471 0.13797 -3.12576 6.01492 4.48113 17.4436 16 0.1471 -1.08134 -3.12577 10.5497 5.52977 22.9615 16 0.147101 -1.0624 -3.12576 9.0744 5.84867 25.4824 16 0.147101 -1.09736 -3.12577 10.5711 7.24492 32.5301 46 0.163157 -0.103381 -3.09229 7.5522 16.0727 84.6193 2 0.163157 0.036194 -3.09229 5.94025 15.9983 86.3201 46 0.163157 0.149077 -3.09229 5.8261 20.2429 112.15 46 0.163157 0.111594 -3.09229 -0.636379 15.944 86.0482
ID_e487d2c5b,6 0.0803053 -0.0410217 -3.07036 -12.5995 6.15412 34.4012 71 0.153591 0.0285992 -3.09959 -5.61809 4.64472 21.67 61 0.131878 0.0816741 -3.04671 -7.23939 7.20259 38.1529 51 0.133046 -0.10118 -3.12141 -23.1103 12.2762 73.1426 47 0.163376 -0.0246973 -3.06186 -25.7745 14.7138 90.0413 27 0.141489 0.0793715 -3.08037 -9.05361 12.4134 70.9398 66 0.143434 0.00924619 -3.07252 4.46936 14.5949 77.7166 28 0.124533 0.308055 -3.10977 15.9983 10.2569 48.6354 46 0.131878 0.295957 -3.04671 -26.8507 19.6095 123.211 16 0.141489 0.0239346 -3.08037 -8.86278 15.5089 90.3247 16 0.143434 -0.0251329 -3.07252 -0.816485 7.39714 37.6472 16 0.143435 -0.0108031 -3.07252 3.45863 19.5753 112.453 16 0.143434 -0.0392292 -3.07252 -0.527091 18.642 109.219 2 0.124534 -1.41281 -3.10976 22.1122 10.1613 48.6788
ID_68f992ea1,28 0.160245 0.032025 3.09855 -3.21363 3.22741 10.891 66 0.145263 -3.06076 3.07425 -13.0603 5.44122 24.5199 71 0.0712285 -3.11553 3.08417 -11.9144 5.85066 29.7693 54 0.153937 3.06417 3.10974 -13.5954 8.93386 45.6511 6 0.153278 -0.00174895 3.10668 -5.25043 11.7142 66.3742 2 0.145266 -3.11108 3.07425 -11.198 3.68674 15.7394
